Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),Carbon Emissions(g/km)
2,4,AS5,Z,9.9,6.7,8.5,33,196
2.4,4,M6,Z,11.2,7.7,9.6,29,221
1.5,4,AV7,Z,6,5.8,5.9,48,136
3.5,6,AS6,Z,12.7,9.1,11.1,25,255
3.5,6,AS6,Z,12.1,8.7,10.6,27,244
3.5,6,AS6,Z,11.9,7.7,10,28,230
3.5,6,AS6,Z,11.8,8.1,10.1,28,232
3.7,6,AS6,Z,12.8,9,11.1,25,255
3.7,6,M6,Z,13.4,9.5,11.6,24,267
2.4,4,AS5,Z,10.6,7.5,9.2,31,212
2.4,4,M6,Z,11.2,8.1,9.8,29,225
3.5,6,AS5,Z,12.1,8.3,10.4,27,239
1.8,4,AM6,Z,9.7,6.9,8.4,34,193
5.9,12,A6,Z,18,12.6,15.6,18,359
5.9,12,A6,Z,18,12.6,15.6,18,359
4.7,8,AM7,Z,17.4,11.3,14.7,19,338
4.7,8,M6,Z,18.1,12.2,15.4,18,354
4.7,8,AM7,Z,17.4,11.3,14.7,19,338
4.7,8,M6,Z,18.1,12.2,15.4,18,354
5.9,12,A6,Z,18,12.6,15.6,18,359
2,4,AV8,Z,9.9,7.4,8.8,32,202
2,4,AS8,Z,11.5,8.1,10,28,230
2,4,M6,Z,10.8,7.5,9.3,30,214
2,4,AS8,Z,11.5,8.1,10,28,230
2,4,AS8,Z,11.5,8.1,10,28,230
2,4,M6,Z,10.8,7.5,9.3,30,214
2,4,AS8,Z,12,8.1,10.2,28,235
3,6,AS8,Z,12.8,8.6,10.9,26,251
3,6,AS8,D,9.8,6.2,8.1,35,217
3,6,AS8,Z,13.3,8.5,11.2,25,262
3,6,AS8,D,9.8,6.2,8.1,35,217
3,6,AS8,Z,13.1,8.8,11.2,25,258
4,8,AS8,Z,13.7,8.3,11.3,25,265
3,6,AS8,D,9.8,6.5,8.4,34,224
3,6,AS8,Z,13.1,8.8,11.2,25,258
4,8,AS8,Z,14.7,9.7,12.5,23,288
6.3,12,AS8,Z,18.7,11.5,15.5,18,363
3,6,AS8,D,9.8,6.5,8.4,34,224
2,4,AS8,Z,11.8,8.8,10.5,27,242
2,4,AS8,Z,12,8.5,10.4,27,239
3,6,AS8,Z,12.9,9.2,11.2,25,258
3,6,AS8,D,10.2,7.8,9,31,244
2,4,AS8,Z,9.9,8.3,9.2,31,212
3,6,AS8,Z,15.1,10.9,13.2,21,304
3,6,AS8,D,12.4,8.7,10.7,26,290
4.2,8,A7,Z,17.6,11,14.6,19,336
4.2,8,M6,Z,21.2,13.4,17.7,16,407
5.2,10,A7,Z,18.2,10.6,14.8,19,347
5.2,10,M6,Z,21.1,13.8,17.8,16,409
4.2,8,A7,Z,17.6,11,14.6,19,336
4.2,8,M6,Z,21.2,13.4,17.7,16,407
5.2,10,A7,Z,18.2,10.6,14.8,19,347
5.2,10,M6,Z,21.1,13.8,17.8,16,409
4.2,8,A7,Z,15.3,10.9,13.3,21,306
4.2,8,A7,Z,15.2,11.3,13.4,21,308
4,8,AS8,Z,15.5,8.8,12.5,23,293
3,6,A7,Z,13.2,9.2,11.4,25,262
3,6,M6,Z,14.6,9.8,12.4,23,285
3,6,A7,Z,13.2,9.2,11.4,25,262
3,6,M6,Z,14.6,9.8,12.4,23,285
3,6,A7,Z,13.3,9.5,11.6,24,267
4,8,A7,Z,14.2,9.7,12.2,23,281
4,8,A7,Z,14.2,9.7,12.2,23,281
4,8,AS8,Z,15.8,9.2,12.8,22,300
3,6,AS8,Z,14.9,10.1,12.7,22,292
2,4,A6,Z,10.4,7.6,9.1,31,209
2,4,A6,Z,10.4,7.6,9.1,31,209
2,4,A6,Z,11.5,8.8,10.3,27,237
2,4,A6,Z,11.5,8.8,10.3,27,237
4,8,AS8,Z,16.3,9.8,13.4,21,314
6,12,AS8,Z,18.8,11.5,15.5,18,356
4,8,AS8,Z,17.4,10.2,14.2,20,332
6,12,AS8,Z,20,12.2,16.5,17,380
6,12,AS8,Z,20,12.2,16.5,17,380
6,12,AS8,Z,20.3,11.9,16.5,17,388
6.8,8,AS8,Z,22.3,14.9,19,15,437
2,4,A8,Z,10,6.5,8.4,34,193
2,4,M6,Z,10.4,6.7,8.7,32,200
2,4,A8,Z,10.2,7,8.8,32,202
2,4,A8,D,7.6,5.5,6.7,42,181
2,4,A8,D,7.6,5.5,6.7,42,181
2,4,A8,Z,10,6.5,8.4,34,193
2,4,M6,Z,10.4,6.7,8.7,32,200
2,4,A8,Z,10.6,7.2,9.1,31,209
2,4,A8,Z,10.6,7.2,9.1,31,209
2,4,A8,Z,10.6,7.2,9.1,31,209
3,6,A8,Z,11.4,7.3,9.6,29,221
3,6,M6,Z,11.8,7.9,10,28,230
3,6,A8,Z,11.7,7.8,9.9,29,228
3,6,M6,Z,11.9,8.3,10.3,27,237
3,6,A8,Z,11.9,8,10.1,28,232
2,4,A8,Z,10,6.5,8.4,34,193
2,4,M6,Z,10.4,6.7,8.7,32,200
2,4,A8,Z,10.6,7.2,9.1,31,209
3,6,A8,Z,11.4,7.3,9.6,29,221
3,6,M6,Z,11.8,7.9,10,28,230
3,6,A8,Z,11.7,7.8,9.9,29,228
3,6,M6,Z,11.9,8.3,10.3,27,237
2,4,A8,Z,10.2,7,8.8,32,202
2,4,A8,Z,10.6,7.2,9.1,31,209
3,6,A8,D,9.2,6.4,7.9,36,213
3,6,A8,Z,11.9,8,10.1,28,232
3,6,A8,Z,12.5,8.6,10.7,26,246
4.4,8,A8,Z,14.4,9.6,12.2,23,281
4.4,8,A8,Z,15,9.8,12.7,22,292
3,6,A8,Z,11.9,8,10.1,28,232
4.4,8,A8,Z,15,9.8,12.7,22,292
4.4,8,A8,Z,14.4,9.6,12.2,23,281
4.4,8,A8,Z,15,9.8,12.7,22,292
3,6,A8,Z,12.5,8.6,10.7,26,246
4.4,8,A8,Z,15,9.8,12.7,22,292
4.4,8,A8,Z,15,9.8,12.7,22,292
6,12,A8,Z,18.7,11.5,15.5,18,356
3,6,A8,Z,9.2,7.1,8.3,34,191
3,6,A8,Z,10.5,7.9,9.3,30,214
3,6,A8,Z,10.5,7.6,9.2,31,212
4.4,8,A8,Z,15,9.8,12.7,22,292
4.4,8,A8,Z,15,9.8,12.7,22,292
4.4,8,AM7,Z,17.3,11.5,14.7,19,338
4.4,8,M6,Z,16.2,10.9,13.8,20,317
4.4,8,AM7,Z,17.3,11.5,14.7,19,338
4.4,8,M6,Z,16.2,10.9,13.8,20,317
4.4,8,AM7,Z,17.3,11.5,14.7,19,338
4.4,8,M6,Z,16.2,10.9,13.8,20,317
4.4,8,AM7,Z,17.3,11.5,14.7,19,338
4.4,8,M6,Z,16.2,10.9,13.8,20,317
2,4,A8,Z,10.6,7.2,9.1,31,209
3,6,A6,Z,13.2,8.9,11.3,25,260
2,4,A8,Z,11.2,8.5,10,28,230
3,6,A8,Z,12.6,9.1,11,26,253
3,6,A8,Z,12.9,8.8,11.1,25,255
4.4,8,A8,Z,16.3,10.9,13.9,20,320
4.4,8,A6,Z,18.1,13.7,16.1,18,370
